evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_1575
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_1750
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_1925
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_1926
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2154
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2275
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2276
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2278
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2279
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2327
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2450
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2451
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2452
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2503
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2625
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2626
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2628
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2652
nci,false,false,old_monoallelic__roc__regime_1225,old_monoallelic__roc__regime_2679
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_1750
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_1925
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_1926
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2154
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2275
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2276
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2278
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2279
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2327
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2450
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2451
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2452
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2503
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2625
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2626
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2628
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2652
nci,false,false,old_monoallelic__roc__regime_1575,old_monoallelic__roc__regime_2679
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_1925
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_1926
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2154
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2275
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2276
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2278
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2279
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2327
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2450
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2451
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2452
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2503
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2625
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2626
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2628
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2652
nci,false,false,old_monoallelic__roc__regime_1750,old_monoallelic__roc__regime_2679
nci,false,false,old_monoallelic__roc__regime_1925,old_monoallelic__roc__regime_1926
nci,false,false,old_monoallelic__roc__regime_1925,old_monoallelic__roc__regime_2154
nci,false,false,old_monoallelic__roc__regime_1925,old_monoallelic__roc__regime_2275
nci,false,false,old_monoallelic__roc__regime_1925,old_monoallelic__roc__regime_2276
nci,false,false,old_monoallelic__roc__regime_1925,old_monoallelic__roc__regime_2278
nci,false,false,old_monoallelic__roc__regime_1925,old_monoallelic__roc__regime_2279
