endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3,score_full_hla__self_gated_hillq_pdac_selected,score_focal_hla__self_gated_hillq_pdac_selected,score_old_monoallelic__self_gated_hillq_pdac_selected,score_mono_q_full_pn__self_gated_hillq_pdac_selected,score_full_q_mono_pn__self_gated_hillq_pdac_selected,score_full_hla__self_gated_hillq_all_contexts_selected,score_focal_hla__self_gated_hillq_all_contexts_selected,score_old_monoallelic__self_gated_hillq_all_contexts_selected,score_mono_q_full_pn__self_gated_hillq_all_contexts_selected,score_full_q_mono_pn__self_gated_hillq_all_contexts_selected
pdac.02526ff00ce7913d5e46a73b1908fcba417a725286f686d34ef7616a43d6bf70,-4.1886144,-0.094269775,-0.6712624,-20.788527,-27.631021,-0.6712624,-1.2443702,-1.6984799,-0.11216285,-0.39527038,-1.2443702,-1.6984799,-4.0028462,0.09149816,-0.6702521,-20.520334,-27.631021,-0.6702521,-1.2432071,-1.5861982,0.052451354,-0.39418638,-1.2432071,-1.5861982,-4.101663,-0.0073187165,-0.67123234,-20.587637,-27.631021,-0.67123234,-1.2443452,-1.6984532,-0.046457794,-0.39524275,-1.2443452,-1.6984532,-2.9794376,1.114907,-0.20845987,-20.043283,-27.631021,-0.20845987,-0.51213527,-0.7263909,1.0114362,0.22642954,-0.51213527,-0.7263909,-3.0905504,1.0037943,-0.20312908,-20.110128,-27.631021,-0.20312908,-0.50665486,-0.799079,0.91505355,0.2318659,-0.50665486,-0.799079,-0.6702520999672019,-0.6712623999739102,-0.20312907995076135,-0.2084598699717391,-0.6712323399709766,-0.6495272314046932,-0.6490045981642503,-0.14935031778058294,-0.1449256890007322,-0.6712323399619993
pdac.043d435fab18ab0663607571cded83fa3fedb7f18cf08337ccfd992e13a908d5,-4.0647173,1.094338,-0.69327545,-21.80471,-27.631021,-0.82607013,-0.99380636,-1.3508679,0.9803673,-0.12413153,-0.82607013,-0.93637687,-3.9963555,1.1626997,-0.6892839,-21.396257,-27.631021,-0.8199338,-0.99089825,-1.3284183,1.0018597,-0.11827607,-0.8199338,-0.932486,-3.895842,1.2632132,-0.6395137,-21.463503,-27.631021,-0.765098,-0.89904857,-1.2324347,1.0864604,-0.06408573,-0.765098,-0.8130513,-3.050792,2.1082633,-0.25053203,-20.889814,-27.631021,-0.2862224,-0.3130311,-0.5238603,1.7605159,0.40756154,-0.2862224,-0.29917577,-2.9708211,2.188234,-0.20072185,-20.956408,-27.631021,-0.2553144,-0.28620324,-0.43795377,1.8436438,0.4393222,-0.2553144,-0.2745201,-0.6892838999508735,-0.6932754499520649,-0.20072184996842485,-0.2505320299689199,-0.639513699974483,-0.649493579707141,-0.6488596718087252,-0.14918811851573502,-0.144783102372949,-0.6395136999724708
pdac.04bb5719ad19c5e17e37f696df2388a57067fd69f7ac215cc3837be95302abf5,-4.457367,-0.8738478,-1.0567502,-23.068192,-27.631021,-1.0567502,-1.0567502,-2.4418159,-0.8738478,-0.99598086,-2.4418159,-2.9517393,-4.1353464,-0.55182725,-1.0501915,-22.986073,-27.631021,-1.0501915,-1.0501915,-1.4251173,-0.55182725,-0.6632728,-1.4251173,-2.1452157,-4.349269,-0.7657498,-1.1382662,-23.006165,-27.631021,-1.1382662,-1.1382662,-1.8126147,-0.7657498,-0.90748924,-1.8126147,-2.3999803,-3.0310955,0.5524234,-0.2926341,-22.685198,-27.631021,-0.2926341,-0.2926341,-0.46243757,0.5524234,0.24505745,-0.46243757,-0.7243369,-3.1897984,0.39372057,-0.29366195,-22.701822,-27.631021,-0.29366195,-0.29366195,-0.7598156,0.39372057,0.038260255,-0.7598156,-0.9462608,-1.0501914999683721,-1.0567501999563422,-0.29224664483515106,-0.2926340999719394,-1.0992098006733113,-0.6502064387063706,-0.8789284154354,-0.14972442245295098,-0.14737162982762908,-0.950133098660134
pdac.054d7893a10c38a5509acb681e77504fe3009c307ddfb869c976c200a0c3b793,-4.349483,-0.478282,-1.6080143,-22.619314,-27.631021,-1.6080143,-1.6080143,-2.0053208,-0.478282,-0.9364412,-1.6298263,-2.0053208,-4.340774,-0.46957305,-1.5868717,-22.618946,-27.631021,-1.5868717,-1.5868717,-1.9968908,-0.46957305,-0.9235942,-1.6172012,-1.9968908,-4.528187,-0.65698564,-1.6084297,-22.663101,-27.631021,-1.6084297,-1.6084297,-2.118766,-0.65698564,-1.086166,-1.7969856,-2.118766,-3.1365242,0.7346768,-0.5222616,-22.320408,-27.631021,-0.5222616,-0.5222616,-0.8006416,0.7346768,0.14761135,-0.54581314,-0.8006416,-3.1011844,0.7700167,-0.50680465,-22.312756,-27.631021,-0.50680465,-0.50680465,-0.75804484,0.7700167,0.17794646,-0.51523626,-0.75804484,-1.1998915429704389,-1.2484927192229769,-0.29826314164515405,-0.3928593423347832,-1.1004306446998662,-0.6502368992692755,-0.650579478728232,-0.14980450566700243,-0.14858147664455937,-0.9514900440712973
pdac.076594af48300bc1dde37a255ef0df93fd3839702e75c13a6bfcf8ca8b082cee,-3.8681588,-0.46696132,-0.6198911,-23.62917,-27.631021,-0.6198911,-0.6198911,-1.8242686,-0.46696132,-0.5337802,-1.8242686,-2.3641522,-3.8675168,-0.46631938,-0.62009656,-23.621696,-27.631021,-0.62009656,-0.62009656,-1.8270738,-0.46631938,-0.53441364,-1.8270738,-2.365841,-4.193646,-0.7924486,-0.9275504,-23.663229,-27.631021,-0.9275504,-0.9275504,-2.1461158,-0.7924486,-0.8437505,-2.1461158,-2.9247146,-3.277061,0.12413646,-0.20924522,-23.431784,-27.631021,-0.20924522,-0.20924522,-0.9960538,0.12413646,-0.02086373,-0.9960538,-1.3822359,-3.2699358,0.13126156,-0.20430428,-23.418488,-27.631021,-0.20430428,-0.20430428,-0.98804533,0.13126156,-0.014866724,-0.98804533,-1.3937535,-0.6200965599633135,-0.6198910999699494,-0.2043042799554555,-0.2092452199559881,-0.9275503999638928,-0.6200965599653894,-0.6198910999655802,-0.14965966038412432,-0.14753854021896162,-0.9275501427845352
pdac.096519334e5a25772e08825ec3231dd0dcd769334fc61db3df846c9ea00863c0,-4.2061334,-0.3349322,-0.9838262,-21.075294,-27.631021,-0.9838262,-0.9838262,-1.9276088,-0.33764812,-0.7650293,-1.6879356,-1.9276088,-4.094797,-0.2235959,-0.9841074,-20.783777,-27.631021,-0.9841074,-0.9841074,-1.8093119,-0.23789169,-0.7019328,-1.5445206,-1.8093119,-4.4282403,-0.5570392,-1.800863,-20.934755,-27.631021,-1.800863,-1.800863,-2.0364683,-0.56708705,-1.198978,-1.8967116,-2.0364683,-2.938888,0.93231297,-0.25275427,-20.29304,-27.631021,-0.25275427,-0.25275427,-0.71555334,0.90143925,0.18825884,-0.54779595,-0.71555334,-3.139067,0.7321341,-0.7533273,-20.419205,-27.631021,-0.7533273,-0.7533273,-0.8328429,0.70868856,-0.08643118,-0.77993226,-0.8328429,-0.9841073999677856,-0.9838261999704215,-0.29939712991601014,-0.2527542699521089,-1.1004404673455292,-0.6499726504799266,-0.6500315858374119,-0.1499266784264904,-0.14608621734165256,-0.9514271999894974
pdac.0adeb4ed1da7f796ec306c6d29a44f1211598d012a8de5d546d57b0e4e1753ff,-5.749237,-3.2643304,-3.5464191,-20.779623,-27.631021,-3.5464191,-3.5464191,-3.5464191,-3.2643304,-3.2902865,-4.16205,-5.0849743,-5.485478,-3.0005713,-3.3567955,-20.131514,-27.631021,-3.3567955,-3.3567955,-3.3567955,-3.0005713,-3.1101005,-3.9936557,-4.475791,-5.173283,-2.6883764,-3.0360603,-20.342793,-27.631021,-3.0360603,-3.0360603,-3.0360603,-2.6883764,-2.7584536,-3.6058292,-4.199745,-4.116185,-1.6312784,-2.1011903,-19.552956,-27.631021,-2.1011903,-2.1011903,-2.1011903,-1.6312784,-1.8322362,-2.6890528,-3.0286577,-3.8541436,-1.3692371,-1.7803549,-19.764227,-27.631021,-1.7803549,-1.7803549,-1.7803549,-1.3692371,-1.4781232,-2.301176,-2.752579,-3.191761315866806,-3.4130385104380085,-1.6417707228784493,-1.9250002401715143,-2.8678679616523755,-3.0302565431354793,-3.287837750550045,-1.4034969173864122,-1.6704376715325375,-2.7173500570713536
pdac.133402df608bd3b31be59fe1dc9a322c75e0fbf5a35342361c09d838c830c494,-4.043264,-0.17206265,-0.46820092,-22.77694,-27.631021,-0.46820092,-0.46820092,-2.0337782,-0.17206265,-0.28181773,-1.2608569,-2.0337782,-4.0306015,-0.15940028,-0.46902007,-22.720451,-27.631021,-0.46902007,-0.46902007,-2.034058,-0.15940028,-0.28249583,-1.2612615,-2.034058,-4.051668,-0.18046694,-0.49351993,-22.722748,-27.631021,-0.49351993,-0.49351993,-2.0445225,-0.18046694,-0.3044371,-1.2782897,-2.0445225,-3.220759,0.6504422,-0.1679186,-22.367968,-27.631021,-0.1679186,-0.1679186,-0.8107647,0.6504422,0.19618307,-0.5792954,-0.8107647,-3.1885955,0.68260545,-0.110893205,-22.364666,-27.631021,-0.110893205,-0.110893205,-0.786519,0.68260545,0.23705003,-0.5492457,-0.786519,-0.4690200699685452,-0.4682009199586994,-0.11089320497470113,-0.16791859997337943,-0.4935199299630083,-0.46902006996470647,-0.46820091996624325,-0.11089320495477453,-0.14404761582649284,-0.49351992996431504
pdac.162eb74d1e59c2ab6abf238bf941550d55ba74aad47a1c403208edc49640549d,-4.5700574,-0.38040257,-1.3602686,-22.944597,-27.631021,-1.3602686,-1.3925542,-2.1158547,-0.3828793,-0.6988859,-1.3925542,-1.6414062,-4.437157,-0.2475021,-1.2937685,-22.726625,-27.631021,-1.2937685,-1.3189704,-1.8523798,-0.25783563,-0.62550575,-1.3189704,-1.5870559,-4.3532186,-0.1635635,-0.9582013,-22.767233,-27.631021,-0.9582013,-1.348588,-1.7568537,-0.17007579,-0.5811002,-1.348588,-1.6022809,-3.3745804,0.8150745,-0.41088358,-22.36798,-27.631021,-0.41088358,-0.5407982,-0.75066906,0.78854996,0.16076428,-0.5407982,-0.66066617,-3.2057776,0.98387706,-0.33367437,-22.39609,-27.631021,-0.33367437,-0.37065116,-0.5526913,0.9668509,0.3231795,-0.37065116,-0.40460166,-1.1989252606075826,-1.244391680634688,-0.29549002856757806,-0.3859165421321167,-0.9582012999655768,-0.6500676795327363,-0.6503185904584219,-0.1496162922593573,-0.14781605187204236,-0.9432677193823868
pdac.165f0d5575dd788688c3dde762f3c6e7afc7e28ac6a26dbb1c6d6e4e49d9554c,-6.9870496,-3.8089957,-4.4379697,-23.991455,-27.631021,-4.4379697,-4.4379697,-4.834159,-3.8089957,-4.0645,-4.834159,-5.008827,-5.8212633,-2.6432095,-3.0804656,-23.773817,-27.631021,-3.0804656,-3.0804656,-3.6313424,-2.6432095,-2.793568,-3.6313424,-4.1087,-6.0162354,-2.8381815,-3.6568244,-23.803371,-27.631021,-3.6568244,-3.6568244,-3.742699,-2.8381815,-3.045869,-3.742699,-4.0472326,-4.383982,-1.2059284,-1.6259415,-23.528746,-27.631021,-1.6259415,-1.6259415,-2.2414804,-1.2059284,-1.3697673,-2.2414804,-2.7270977,-4.6137295,-1.4356754,-2.2023003,-23.558292,-27.631021,-2.2023003,-2.2023003,-2.3528018,-1.4356754,-1.6483718,-2.3528018,-2.6655836,-2.8502895654940557,-4.0260093679500475,-1.7918327134580767,-1.4818930729406432,-3.1218614747221,-2.6614285420792614,-3.835203039424661,-1.4676180243311334,-1.2234289713233588,-2.8722916959385625
