assay_id,uniprot_id,taxon,source_organism,first_author,year,title,selection_type,selection_assay,binarization_method,single_variant_count,deleterious_count,functional_count,deleterious_fraction,source_includes_multiple_mutants,unique_score_eve_ensemble,unique_score_esm1v_single,unique_score_esm1v_ensemble,unique_score_esm2_650m,assays_for_uniprot,assays_from_publication
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,Human immunodeficiency virus 1,Haddox,2018,Mapping mutational effects along the evolutionary landscape of HIV envelope,OrganismalFitness,Viral replication,manual,12577,6982,5595,0.555140335533116,False,12530,12574,12576,12566,1,2
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,Prokaryote,Pseudomonas aeruginosa,Chen,2020,"Comprehensive exploration of the translocation, stability and substrate recognition requirements in VIM-2 lactamase",OrganismalFitness,"drug resistance (128/16/2.0 ug/mL ampicillin, 4.0/0.5 ug/mL cefotaxime, 0.031 ug/mL meropenem @ 25C, 37C)",manual,5004,2189,2815,0.43745003996802556,False,4997,5004,5004,5004,1,1
A4_HUMAN_Seuma_2022,A4_HUMAN,Human,Homo sapiens,Seuma,2022,"An atlas of amyloid aggregation: the impact of substitutions, insertions, deletions and truncations on amyloid beta fibril nucleation",Stability,aggregation,manual,796,223,573,0.28015075376884424,True,794,796,796,796,1,1
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Human,Homo sapiens,Gajula,2014,High-throughput mutagenesis reveals functional determinants for DNA targeting by activation-induced deaminase,Activity,Enzymatic activity,manual,209,174,35,0.8325358851674641,False,209,209,209,209,1,1
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Human,Homo sapiens,Findlay,2018,Accurate classification of BRCA1 variants with saturation genome editing,OrganismalFitness,Growth,manual,1837,474,1363,0.2580293957539467,False,1824,1837,1837,1837,1,1
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,Human,Homo sapiens,Erwood,2022,Saturation variant interpretation using CRISPR prime editing,OrganismalFitness,Fitness,manual,265,23,242,0.08679245283018867,False,265,265,265,265,1,3
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,Adeno-associated virus 2 (isolate Srivastava/1982) (AAV-2),Sinai,2021,Generative AAV capsid diversification by latent interpolation,OrganismalFitness,viability for AAV capsid production,manual,532,217,315,0.40789473684210525,True,532,532,532,532,1,1
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,Homo sapiens,Meitlis,2020,Multiplexed Functional Assessment of Genetic Variants in CARD11,OrganismalFitness,Signaling (in presence of ibrutinib),manual,2374,2062,312,0.8685762426284751,False,2337,2374,2374,2374,2,2
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,Homo sapiens,Meitlis,2020,Multiplexed Functional Assessment of Genetic Variants in CARD11,OrganismalFitness,Signaling,manual,2395,1275,1120,0.5323590814196242,False,2356,2395,2395,2395,2,2
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,Prokaryote,Escherichia coli,Tripathi,2016,"Molecular Determinants of Mutant Phenotypes, Inferred from Saturation Mutagenesis Data",OrganismalFitness,growth (surrogate for toxicity/activity of CCDB),manual,1663,325,1338,0.19542994588093807,False,1661,1663,1663,1663,1,1
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Human,Homo sapiens,Klesmith,2019,Retargeting CD19 Chimeric Antigen Receptor T Cells via Engineered CD19-Fusion Proteins,Binding,Binding affinity,manual,3761,2992,769,0.7955331028981654,False,3753,3761,3761,3761,1,1
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,Mus musculus,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1353,597,756,0.44124168514412415,True,1352,1353,1353,1353,1,20
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Eukaryote,Clytia gregaria,Somermeyer,2022,Heterogeneity of the GFP fitness landscape and data-driven protein design,Activity,Fluorescence,manual,1169,266,903,0.2275449101796407,True,1167,1169,1169,1169,1,2
DLG4_RAT_McLaughlin_2012,DLG4_RAT,Eukaryote,Rattus norvegicus,McLaughlin,2012,The spatial architecture of protein function and adaptation,Binding,peptide binding - natural ligand,manual,1576,354,1222,0.22461928934010153,False,1573,1576,1576,1576,1,1
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,Prokaryote,Escherichia coli,Nguyen,2023,The Genetic Landscape of a Metabolic Interaction,OrganismalFitness,cell growth in ∆DHFR bacteria,manual,2916,611,2305,0.20953360768175583,False,2914,2916,2916,2916,2,1
DYR_ECOLI_Thompson_2019,DYR_ECOLI,Prokaryote,Escherichia coli,Thompson,2019,Altered expression of a quality control protease in E. coli reshapes the in vivo mutational landscape of a model enzyme,OrganismalFitness,"growth (turbidostat; -Lon for natural absence of Lon protease in E. coli, +Lon for exogenous protease)",manual,2363,721,1642,0.3051206093948371,False,2362,2363,2363,2363,2,1
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Prokaryote,Escherichia coli,Ghose,2023,Marginal specificity in protein interactions constrains evolution of a paralogous family,Activity,fluorescent reporter,manual,1121,402,719,0.3586083853702052,False,1121,1121,1121,1121,1,1
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,Virus,Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1),Duenas-Decamp,2016,Saturation Mutagenesis of the HIV-1 Envelope CD4 Binding Loop Reveals Residues Controlling Distinct Trimer Conformations,OrganismalFitness,Viral replication,manual,375,266,109,0.7093333333333334,False,375,375,375,375,1,1
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,Prokaryote,Mesorhizobium opportunistum,Ding,2023,Protein design using structure-based residue preferences,OrganismalFitness,growth enrichment,manual,80,2,78,0.025,True,80,80,80,80,1,1
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,Eukaryote,Saccharomyces cerevisiae,Kitzman,2015,Massively parallel single-amino-acid mutagenesis,OrganismalFitness,"Growth (no selection, 24h)",manual,1195,364,831,0.30460251046025105,False,1194,1195,1195,1195,1,1
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Eukaryote,Aequorea victoria,Sarkisyan,2016,Local fitness landscape of the green fluorescent protein,Activity,Fluorescence,manual,1084,91,993,0.08394833948339483,True,1082,1084,1084,1084,1,1
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,Human,Homo sapiens,Faure,2022,Mapping the energetic and allosteric landscapes of protein binding domains,OrganismalFitness,Yeast growth,manual,1034,336,698,0.32495164410058025,True,1033,1034,1034,1034,1,1
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1244,625,619,0.502411575562701,True,1244,1244,1244,1244,1,20
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,Eukaryote,Saccharomyces cerevisiae,Pokusaeva,2019,An experimental assay of the interactions of amino acids from orthologous sequences shaping a complex fitness landscape,OrganismalFitness,Growth,manual,168,6,162,0.03571428571428571,True,168,168,168,168,1,1
HSP82_YEAST_Flynn_2019,HSP82_YEAST,Eukaryote,Saccharomyces cerevisiae,Flynn,2019,Comprehensive fitness maps of Hsp90 show widespread environmental dependence,OrganismalFitness,"growth, nitrogen depletion (0.0125% ammonium sulfate), hyperosmotic shock (0.8 M NaCl), alcohol stress (7.5% ethanol), sulfhydryl-oxidation (0.85 mM diamide), temperature shock (37C)",manual,13294,3268,10026,0.24582518429366632,False,13128,13290,13293,13292,2,1
HSP82_YEAST_Mishra_2016,HSP82_YEAST,Eukaryote,Saccharomyces cerevisiae,Mishra,2016,Systematic Mutant Analyses Elucidate General and Client-Specific Aspects of Hsp90 Function,OrganismalFitness,Growth,manual,4323,735,3588,0.17002081887578072,False,4310,4320,4323,4322,2,1
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Human,Homo sapiens,Gersing,2023,Characterizing glucokinase variant mechanisms using a multiplexed abundance assay,Expression,abundance,manual,8396,2629,5767,0.3131252977608385,False,8352,8394,8396,8395,1,1
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,Prokaryote,Escherichia coli,Kelsic,2016,RNA Structural Determinants of Optimal Codons Revealed by MAGE-Seq,OrganismalFitness,Growth,manual,1367,414,953,0.30285296269202633,False,1367,1367,1367,1367,1,1
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Human,Homo sapiens,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,1329,322,1007,0.24228743416102333,False,1329,1329,1329,1329,1,20
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Human,Homo sapiens,Muhammad,2023,"High-throughput functional mapping of variants in an arrhythmia gene, KCNE1, reveals novel biology",Expression,cell surface expression,manual,2339,529,1810,0.2261650277896537,False,2339,2338,2339,2339,1,1
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,Prokaryote,Klebsiella pneumoniae,Melnikov,2014,Comprehensive mutational scanning of a kinasein vivoreveals substrate-dependent fitness landscapes,OrganismalFitness,"Growth (225 ug/mL kanamycin) 1:1, 1:2, 1:4, 1:8 dilutions",manual,4960,1770,3190,0.35685483870967744,False,4954,4960,4960,4960,1,1
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Eukaryote,Mus musculus,Tsuboyama,2023,Mega-scale experimental analysis of protein folding stability in biology and design,Stability,Stability,manual,762,288,474,0.3779527559055118,True,762,762,762,762,1,20
MET_HUMAN_Estevam_2023,MET_HUMAN,Human,Homo sapiens,Estevam,2023,Conserved regulatory motifs in the juxtamembrane domain and kinase N-lobe revealed through deep mutational scanning of the MET receptor tyrosine kinase domain,Activity,Human cell line with growth linked to kinase activity in the absense of IL-3,manual,5393,2108,3285,0.390877062859262,False,5378,5392,5393,5393,1,1
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,Human,Homo sapiens,Jia,2020,Massively parallel functional testing of MSH2 missense variants conferring Lynch Syndrome risk,OrganismalFitness,"drug resistance (surrogate for protein activity, 6-thioguanine (6-TG))",manual,16749,2346,14403,0.1400680637650009,False,16547,16745,16748,16741,1,1
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,Haemophilus aegyptius,Rockah-Shmuel,2015,Systematic Mapping of Protein Mutational Space by Prolonged Drift Reveals the Deleterious Effects of Seemingly Neutral Mutations,OrganismalFitness,Growth,manual,1777,452,1325,0.2543612830613393,False,1777,1777,1777,1777,1,1
