comparison,comparison_label,orientation,empirical_order,supported_magnitude,literal_subset_survival,survivor_count,evaluation_count,verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,forward,1,-0.06159963918105788,0.5384615384615384,49,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,reverse,1,-0.09071604226637826,0.34065934065934067,31,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,forward,2,-0.15477155970832424,0.28717948717948716,49,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,reverse,2,-0.16738002924964113,0.11355311355311355,31,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,forward,5,-0.31953999358363394,0.04100432694001078,49,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,reverse,5,-0.2764163299446462,0.0036536497210654523,31,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,forward,10,-0.47364717514721066,0.0012786607975623487,49,91,no_verdict
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,reverse,10,-0.3668426648978712,6.901022068081918e-06,31,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,forward,1,-0.0482186248519134,0.42857142857142855,39,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,reverse,1,-0.06754469243178311,0.3076923076923077,28,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,forward,2,-0.11748654051219799,0.18095238095238095,39,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,reverse,2,-0.1351342838918155,0.09230769230769231,28,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,forward,5,-0.23490000483761797,0.012380684019583671,39,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,reverse,5,-0.24325082389790562,0.0021133457785918078,28,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,forward,10,-0.3546784921243748,9.891947794380445e-05,39,91,no_verdict
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,reverse,10,-0.3408420406716112,2.0419041936705123e-06,28,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,forward,1,-0.05740262784135824,0.5824175824175825,53,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,reverse,1,-0.10913927338126914,0.24175824175824176,22,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,forward,2,-0.15564476156772875,0.3365079365079365,53,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,reverse,2,-0.1860082133699238,0.05641025641025641,22,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,forward,5,-0.3182295437317457,0.06170773993323392,53,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,reverse,5,-0.2983345286822422,0.0005662682919560099,22,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,forward,10,-0.46105316979779815,0.0030339830487496546,53,91,no_verdict
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,reverse,10,-0.3897404047608829,1.0061556896347446e-07,22,91,no_verdict
