comparison,comparison_label,assay_id,paired_auroc_difference
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,A0A192B1T2_9HIV1_Haddox_2018,-0.0013927425789639347
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,A4GRB6_PSEAI_Chen_2020,0.01979459707710196
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,A4_HUMAN_Seuma_2022,-0.0213063179395675
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,AICDA_HUMAN_Gajula_2014_3cycles,-0.02545155993431847
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,BRCA1_HUMAN_Findlay_2018,0.004940702285539111
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,BRCA2_HUMAN_Erwood_2022_HEK293T,-0.34980237154150184
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CAPSD_AAV2S_Sinai_2021,-0.23247750713188498
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CAR11_HUMAN_Meitlis_2020_gof,0.08153802631251705
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CAR11_HUMAN_Meitlis_2020_lof,0.04436029411764719
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CCDB_ECOLI_Tripathi_2016,-0.03255375416810413
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CD19_HUMAN_Klesmith_2019_FMC_singles,-0.019740982455164424
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CSN4_MOUSE_Tsuboyama_2023_1UFM,0.11062255723059755
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,D7PM05_CLYGR_Somermeyer_2022,-0.27539987843362546
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,DLG4_RAT_McLaughlin_2012,0.03178428435370373
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,DYR_ECOLI_Nguyen_2023,0.015289468919412963
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,DYR_ECOLI_Thompson_2019,-0.025872088603425047
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,ENVZ_ECOLI_Ghose_2023,0.018139483389727262
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,ENV_HV1B9_DuenasDecamp_2016,0.01572739187418082
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,F7YBW8_MESOW_Ding_2023,0.1217948717948718
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,GAL4_YEAST_Kitzman_2015,-0.006466457729995767
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,GFP_AEQVI_Sarkisyan_2016,-0.2651417062293193
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,GRB2_HUMAN_Faure_2021,0.012753274662300473
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,HECD1_HUMAN_Tsuboyama_2023_3DKM,-0.20565557350565444
