assay_id,observed_anchor,limiting_prevalence,computational_minimum,computational_q05,computational_median,computational_q95,computational_maximum,computational_survivors,row_subset_survival,position_cluster_count,rejected_missing_class_draws,uniprot_id,selection_type
A0A192B1T2_9HIV1_Haddox_2018,0.024070958307531032,0.4,-0.003162064611241966,0.006678341528956264,0.024374458508900104,0.04337006968451509,0.04922358868900001,198,0.9800502512562813,662,0,A0A192B1T2_9HIV1,OrganismalFitness
A4GRB6_PSEAI_Chen_2020,0.020084465688095632,0.5,-0.004546392084801454,0.005196259748080967,0.018651617081718974,0.03454585311183206,0.04595622950396905,199,0.99,266,0,A4GRB6_PSEAI,OrganismalFitness
A4_HUMAN_Seuma_2022,0.06175276853054357,0.4,-0.030915956050304172,0.011226689867910523,0.05815560827059868,0.12057433720104838,0.15082213509478826,197,0.9701507537688443,42,0,A4_HUMAN,Stability
AICDA_HUMAN_Gajula_2014_3cycles,0.06824207221117168,0.4,-0.1196948143878866,-0.042073052392869625,0.0664863736002424,0.16112529020916425,0.2426378229614498,169,0.7133668341708542,11,0,AICDA_HUMAN,Activity
BRCA1_HUMAN_Findlay_2018,0.038667994928394456,0.4,0.0021977132248029996,0.019405508815718637,0.03843810538589082,0.05757181772352585,0.07176926970807251,200,1.0,326,0,BRCA1_HUMAN,OrganismalFitness
BRCA2_HUMAN_Erwood_2022_HEK293T,-0.12704028530203204,0.5,-0.29801512825122,-0.20138742524710732,-0.12496503886903676,-0.048003192731809634,-0.015952475380029973,0,0.0,53,0,BRCA2_HUMAN,OrganismalFitness
CAPSD_AAV2S_Sinai_2021,0.0069608746637830066,0.4,-0.014808004689810916,-0.006557549158865416,0.0075284578526931024,0.023777306824254173,0.03441581425691046,170,0.7218592964824121,28,0,CAPSD_AAV2S,OrganismalFitness
CAR11_HUMAN_Meitlis_2020_gof,-0.09483251067092624,0.5,-0.16887096330155837,-0.14169633491420053,-0.09560423810504104,-0.05863719258705233,-0.02257935598914851,0,0.0,141,0,CAR11_HUMAN,OrganismalFitness
CAR11_HUMAN_Meitlis_2020_lof,-0.0509401964411198,0.4,-0.10979847652013797,-0.08317186760608002,-0.05000781462559045,-0.014179953559427859,0.010438817941012701,1,0.0,141,0,CAR11_HUMAN,OrganismalFitness
CCDB_ECOLI_Tripathi_2016,0.10770939727148243,0.5,0.02467550921087125,0.06295533178783168,0.1085592051511407,0.16394194738349438,0.21291623707073715,200,1.0,100,0,CCDB_ECOLI,OrganismalFitness
CD19_HUMAN_Klesmith_2019_FMC_singles,0.029204460039747138,0.4,0.004098782090537378,0.012527713412483222,0.02915308808807396,0.043120230201014666,0.05296445734258748,200,1.0,272,0,CD19_HUMAN,Binding
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.042000242214283334,0.5,-0.059608509920235475,-0.027790391703363025,0.04135435441174928,0.11470127849294326,0.17608521969799984,169,0.7133668341708542,72,0,CSN4_MOUSE,Stability
D7PM05_CLYGR_Somermeyer_2022,-0.004469442154613867,0.5,-0.02790814737540326,-0.01935339512400202,-0.004188008219641215,0.009804267003092419,0.01608792403610532,62,0.0,234,0,D7PM05_CLYGR,Activity
DLG4_RAT_McLaughlin_2012,0.03395335456756188,0.5,-0.025443584209707937,-0.003387522813431159,0.03666979428973327,0.08405401759451098,0.12710595934433466,187,0.8739195979899499,83,0,DLG4_RAT,Binding
DYR_ECOLI_Nguyen_2023,0.01531291922042688,0.5,-0.0032963152781265714,0.0056481155166025875,0.01553549287879119,0.027188594594740177,0.04205422980232476,197,0.9701507537688443,158,0,DYR_ECOLI,OrganismalFitness
DYR_ECOLI_Thompson_2019,0.007860167693435338,0.4,-0.03581769268966506,-0.012955607754815465,0.005630717416694742,0.023664313416964282,0.031214800933477282,136,0.46130653266331667,157,0,DYR_ECOLI,OrganismalFitness
ENVZ_ECOLI_Ghose_2023,0.03419211506647457,0.5,-0.04027858313059318,-0.005074533350438878,0.03097128012324879,0.06825546632352818,0.088747161743983,184,0.8460301507537689,60,0,ENVZ_ECOLI,Activity
ENV_HV1B9_DuenasDecamp_2016,-0.07048351724524926,0.4,-0.19997470352881358,-0.14022266537995406,-0.0611753861599344,-0.004310671975431812,0.002162153298143732,2,0.0,20,0,ENV_HV1B9,OrganismalFitness
F7YBW8_MESOW_Ding_2023,0.11015395894428126,0.5,0.019610074078578066,0.03777058754413737,0.11404080183755994,0.23658058531330428,0.37023263881402957,200,1.0,10,109,F7YBW8_MESOW,OrganismalFitness
GAL4_YEAST_Kitzman_2015,-0.005179948652351052,0.4,-0.040441686990873915,-0.02665304985503415,-0.007426513042989635,0.010386113555626162,0.023619114575740674,42,0.0,64,0,GAL4_YEAST,OrganismalFitness
GFP_AEQVI_Sarkisyan_2016,0.0012953465460080506,0.4,-0.050086959887358784,-0.02663743887041068,0.0016705994898823726,0.023780336648886177,0.049161252547199795,112,0.31236180904522615,233,0,GFP_AEQVI,Activity
