comparison,comparison_label,assay_id,uniprot_id,selection_type,retained_cnap_difference,limiting_deleterious_prevalence,reverse_retained_cnap_difference,deleterious_count,functional_count
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,OrganismalFitness,-0.009547809102328025,0.1479799751769537,0.0024429640867266213,6982,5595
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,OrganismalFitness,-0.004522059631939079,0.01,-0.045025254421616034,2189,2815
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,A4_HUMAN_Seuma_2022,A4_HUMAN,Stability,-0.030978890392780567,0.6603088070087292,-0.00977485733196911,223,573
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Activity,-0.06734033630228936,0.01,0.04174732871938702,174,35
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,OrganismalFitness,0.10596631492834419,0.9,-0.3334387170991618,474,1363
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,OrganismalFitness,-0.7519278143501597,0.9,0.031661695737575817,23,242
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,OrganismalFitness,-0.5890804481652036,0.9,0.05028683615746948,217,315
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,OrganismalFitness,0.025317305770790714,0.01,-0.3176819886881677,2062,312
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,OrganismalFitness,0.020056144808013397,0.01,-0.16828047880492125,1275,1120
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,OrganismalFitness,-0.03393377787623053,0.9,0.004759866676972702,325,1338
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Binding,0.0028700027391670435,0.9,-0.05104117923879806,2992,769
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Stability,0.06963145770606932,0.01,-0.25828943013497674,597,756
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Activity,-0.6545298342666684,0.9,0.05853983031829908,266,903
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,DLG4_RAT_McLaughlin_2012,DLG4_RAT,Binding,0.06575682165939095,0.01,-0.18228088057262098,354,1222
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,OrganismalFitness,0.044101122840081164,0.9,-0.18701428802422887,611,2305
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,DYR_ECOLI_Thompson_2019,DYR_ECOLI,OrganismalFitness,-0.03021855564682041,0.9,-0.01019057082096489,721,1642
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Activity,0.03385751209683613,0.01,-0.1679233736329045,402,719
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,OrganismalFitness,-0.01350890360476499,0.01,-0.07342230576977532,266,109
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,OrganismalFitness,0.02810682482156377,0.01,-0.22447160465305793,2,78
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,GAL4_YEAST_Kitzman_2015,GAL4_YEAST,OrganismalFitness,-0.022172971486205117,0.9,0.000786448661861304,364,831
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Activity,-0.5205472332314366,0.9,0.016124083524221934,91,993
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,GRB2_HUMAN_Faure_2021,GRB2_HUMAN,OrganismalFitness,0.012634298678833422,0.01,-0.0406539741973892,336,698
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Stability,-0.2935736557016164,0.8798609741205252,0.0433537809894668,625,619
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,0.02463184257176121,0.24588391821947153,-0.12969748962175198,6,162
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,HSP82_YEAST_Flynn_2019,HSP82_YEAST,OrganismalFitness,-0.01609563292372665,0.014988558157676505,-0.015878065969579525,3268,10026
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,HSP82_YEAST_Mishra_2016,HSP82_YEAST,OrganismalFitness,-0.138587093612258,0.02482320211099239,0.022475546355867904,735,3588
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Expression,-0.016887097686435426,0.6354472014444644,0.0013471580675813687,2629,5767
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,IF1_ECOLI_Kelsic_2016,IF1_ECOLI,OrganismalFitness,-0.058551053550344234,0.022699362649839273,0.0008630146312893494,414,953
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Stability,-0.056178728763999874,0.6668701766591988,0.006496865932467191,322,1007
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Expression,0.019220149310360493,0.01,-0.15133407405513394,529,1810
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,OrganismalFitness,0.014987831632947701,0.9,-0.05186478730327315,1770,3190
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Stability,0.027922790764656515,0.01,-0.4921326936569904,288,474
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,MET_HUMAN_Estevam_2023,MET_HUMAN,Activity,-0.00838105852161486,0.9,-0.08239565763023227,2108,3285
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,MSH2_HUMAN_Jia_2020,MSH2_HUMAN,OrganismalFitness,-0.02756971027258026,0.07942206010011188,0.0051906115086863824,2346,14403
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,OrganismalFitness,0.00103436465765884,0.01,-0.05598805549798225,452,1325
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,0.013784847842737029,0.01,-0.08895493293126261,434,513
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Stability,-0.20946107356770238,0.22248454738261633,0.09989337779777294,494,655
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,Activity,-0.2396450388351768,0.18910266360591826,0.1342181917762545,396,241
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,Activity,-0.3768156854613803,0.9,0.2707654993119218,30,33
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Expression,0.020299449040136003,0.01,-0.0885214602367298,940,1904
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,Stability,-0.09037373519056596,0.69835391834684,0.02056197209600233,593,426
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Stability,0.06553686535169412,0.9,-0.20744066819698545,477,736
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Stability,0.21380740820344507,0.01,-0.6953725989456485,200,435
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,Activity,0.0021060210639853643,0.01,-0.06644992562345964,281,6115
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Expression,0.008913862525065559,0.01,-0.041999010387218094,1329,5440
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,OrganismalFitness,0.03178509543050761,0.01,-0.09638441322645713,1866,5601
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,OrganismalFitness,0.02184164984993573,0.01,-0.08252200910065971,1392,6075
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,P53_HUMAN_Kotler_2018,P53_HUMAN,OrganismalFitness,0.032036795554454336,0.01,-0.1598069886687341,427,621
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,P84126_THETH_Chan_2017,P84126_THETH,OrganismalFitness,-0.030491903132708886,0.01,-0.03614375535703551,837,682
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,PABP_YEAST_Melamed_2013,PABP_YEAST,OrganismalFitness,0.06919800094603468,0.9,-0.16921713611173472,279,908
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Stability,0.012002122144485695,0.01,-0.1866944901474577,343,958
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,POLG_HCVJF_Qi_2014,POLG_HCVJF,OrganismalFitness,0.057505940322357785,0.9,-0.18712007148762808,912,718
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Stability,-0.13201558529010354,0.7634029589922935,0.0028565062384151873,254,741
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Activity,-0.08520386331756924,0.08505626474730554,0.02663877755567534,2059,7517
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Expression,-0.028551883297843653,0.021069575998360384,-0.007338579461033667,3328,5428
